PG,SG,SF,PF,C,G,F,UTIL,Proj,Ceiling,Salary,Cash %,Top 1%,ROI%,Wins,Own Sum,Avg Return,Stack1,Stack2,Lineup,Dupes,User,Index,Entry ID
Josh Giddey (37509444),Quentin Grimes (37509557),RJ Barrett (37509428),Naji Marshall (37509550),Nikola Vucevic (37509400),Kevin Porter Jr. (37509656),Olivier-Maxence Prosper (37509676),Giannis Antetokounmpo (37509355),335.4552387152778,381.47224120694267,49400,48.83%,0,-98.57%,0,198.69,$-2.96,DAL 3,CHI 2,user7,50,marvalshot,491,4630248021_7
Kevin Porter Jr. (37509656),Luke Kennard (37509544),Quentin Grimes (37509557),Naji Marshall (37509550),Nikola Vucevic (37509400),Tyrese Maxey (37509365),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),325.1793619791667,389.71831667478625,49500,100.00%,0,97.02%,0,201.07,$2.91,DAL 3,LAC 1,user7,50,marvalshot,5166,4630248022_7
Josh Giddey (37509444),Jaylen Brown (37509406),Matas Buzelis (37509624),Giannis Antetokounmpo (37509355),Nikola Vucevic (37509400),Quentin Grimes (37509557),Naji Marshall (37509550),Kylor Kelley (37509901),320.15916666666664,369.3499292615783,50000,0.00%,0,-100.0%,0,200.97,$-3.0,CHI 3,DAL 3,user7,50,marvalshot,2411,4630248023_7
Cade Cunningham (37509362),Coby White (37509464),Quentin Grimes (37509557),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),325.2675,366.20944492168815,50000,0.00%,0,-100.0%,0,200.57,$-3.0,DAL 4,CHI 2,user7,86,marvalshot,522,4630248024_7
Coby White (37509464),Kelly Oubre Jr. (37509455),Klay Thompson (37509505),Patrick Williams (37509554),Giannis Antetokounmpo (37509355),Cade Cunningham (37509362),Olivier-Maxence Prosper (37509676),Kylor Kelley (37509901),273.92944444444447,319.65401190111,50000,0.00%,0,-100.0%,0,170.64,$-3.0,DAL 3,CHI 2,user7,50,marvalshot,5295,4630248025_7
Cade Cunningham (37509362),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),Quentin Grimes (37509557),Kawhi Leonard (37509447),Olivier-Maxence Prosper (37509676),297.1584331597222,351.95064553851904,50000,100.00%,0,66.67%,0,202.35,$2.0,DAL 4,DET 1,user7,50,marvalshot,4401,4630248026_7
Cade Cunningham (37509362),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Ivica Zubac (37509426),Kevin Porter Jr. (37509656),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),310.62564236111115,366.0546202513954,49900,100.00%,0,66.69%,0,191.92999999999998,$2.0,DAL 3,LAC 2,user7,50,marvalshot,3469,4630248027_7
Cade Cunningham (37509362),Quentin Grimes (37509557),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Klay Thompson (37509505),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),303.6041666666667,348.00089276540143,50000,0.00%,0,-100.0%,0,224.73,$-3.0,DAL 5,DET 1,user8,50,marvalshot,1351,4630248018_8
Cade Cunningham (37509362),Quentin Grimes (37509557),Ausar Thompson (37509531),Naji Marshall (37509550),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Olivier-Maxence Prosper (37509676),314.7341666666667,355.5898358369194,50000,0.00%,0,-100.0%,0,212.45,$-3.0,DAL 4,DET 2,user8,51,marvalshot,802,4630248019_8
Josh Giddey (37509444),Klay Thompson (37509505),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Desmond Bane (37509420),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),313.0405555555556,366.3274512136281,50000,0.00%,0,-100.0%,0,202.15999999999997,$-3.0,DAL 4,CHI 2,user8,50,marvalshot,2992,4630248020_8
Josh Giddey (37509444),Quentin Grimes (37509557),RJ Barrett (37509428),Naji Marshall (37509550),Nikola Vucevic (37509400),Kevin Porter Jr. (37509656),Olivier-Maxence Prosper (37509676),Giannis Antetokounmpo (37509355),335.4552387152778,381.47224120694267,49400,48.83%,0,-98.57%,0,198.69,$-2.96,DAL 3,CHI 2,user8,50,marvalshot,491,4630248021_8
Kevin Porter Jr. (37509656),Luke Kennard (37509544),Quentin Grimes (37509557),Naji Marshall (37509550),Nikola Vucevic (37509400),Tyrese Maxey (37509365),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),325.1793619791667,389.71831667478625,49500,100.00%,0,97.02%,0,201.07,$2.91,DAL 3,LAC 1,user8,50,marvalshot,5166,4630248022_8
Josh Giddey (37509444),Jaylen Brown (37509406),Matas Buzelis (37509624),Giannis Antetokounmpo (37509355),Nikola Vucevic (37509400),Quentin Grimes (37509557),Naji Marshall (37509550),Kylor Kelley (37509901),320.15916666666664,369.3499292615783,50000,0.00%,0,-100.0%,0,200.97,$-3.0,CHI 3,DAL 3,user8,50,marvalshot,2411,4630248023_8
Cade Cunningham (37509362),Coby White (37509464),Quentin Grimes (37509557),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),325.2675,366.20944492168815,50000,0.00%,0,-100.0%,0,200.57,$-3.0,DAL 4,CHI 2,user8,86,marvalshot,522,4630248024_8
Coby White (37509464),Kelly Oubre Jr. (37509455),Klay Thompson (37509505),Patrick Williams (37509554),Giannis Antetokounmpo (37509355),Cade Cunningham (37509362),Olivier-Maxence Prosper (37509676),Kylor Kelley (37509901),273.92944444444447,319.65401190111,50000,0.00%,0,-100.0%,0,170.64,$-3.0,DAL 3,CHI 2,user8,50,marvalshot,5295,4630248025_8
Cade Cunningham (37509362),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),Quentin Grimes (37509557),Kawhi Leonard (37509447),Olivier-Maxence Prosper (37509676),297.1584331597222,351.95064553851904,50000,100.00%,0,66.67%,0,202.35,$2.0,DAL 4,DET 1,user8,50,marvalshot,4401,4630248026_8
Cade Cunningham (37509362),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Ivica Zubac (37509426),Kevin Porter Jr. (37509656),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),310.62564236111115,366.0546202513954,49900,100.00%,0,66.69%,0,191.92999999999998,$2.0,DAL 3,LAC 2,user8,50,marvalshot,3469,4630248027_8
Cade Cunningham (37509362),Quentin Grimes (37509557),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Klay Thompson (37509505),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),303.6041666666667,348.00089276540143,50000,0.00%,0,-100.0%,0,224.73,$-3.0,DAL 5,DET 1,user9,50,marvalshot,1351,4630248018_9
Cade Cunningham (37509362),Quentin Grimes (37509557),Ausar Thompson (37509531),Naji Marshall (37509550),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Olivier-Maxence Prosper (37509676),314.7341666666667,355.5898358369194,50000,0.00%,0,-100.0%,0,212.45,$-3.0,DAL 4,DET 2,user9,51,marvalshot,802,4630248019_9
Josh Giddey (37509444),Klay Thompson (37509505),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Desmond Bane (37509420),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),313.0405555555556,366.3274512136281,50000,0.00%,0,-100.0%,0,202.15999999999997,$-3.0,DAL 4,CHI 2,user9,50,marvalshot,2992,4630248020_9
Josh Giddey (37509444),Quentin Grimes (37509557),RJ Barrett (37509428),Naji Marshall (37509550),Nikola Vucevic (37509400),Kevin Porter Jr. (37509656),Olivier-Maxence Prosper (37509676),Giannis Antetokounmpo (37509355),335.4552387152778,381.47224120694267,49400,48.83%,0,-98.57%,0,198.69,$-2.96,DAL 3,CHI 2,user9,50,marvalshot,491,4630248021_9
Kevin Porter Jr. (37509656),Luke Kennard (37509544),Quentin Grimes (37509557),Naji Marshall (37509550),Nikola Vucevic (37509400),Tyrese Maxey (37509365),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),325.1793619791667,389.71831667478625,49500,100.00%,0,97.02%,0,201.07,$2.91,DAL 3,LAC 1,user9,50,marvalshot,5166,4630248022_9
Josh Giddey (37509444),Jaylen Brown (37509406),Matas Buzelis (37509624),Giannis Antetokounmpo (37509355),Nikola Vucevic (37509400),Quentin Grimes (37509557),Naji Marshall (37509550),Kylor Kelley (37509901),320.15916666666664,369.3499292615783,50000,0.00%,0,-100.0%,0,200.97,$-3.0,CHI 3,DAL 3,user9,50,marvalshot,2411,4630248023_9
Cade Cunningham (37509362),Coby White (37509464),Quentin Grimes (37509557),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),325.2675,366.20944492168815,50000,0.00%,0,-100.0%,0,200.57,$-3.0,DAL 4,CHI 2,user9,86,marvalshot,522,4630248024_9
Coby White (37509464),Kelly Oubre Jr. (37509455),Klay Thompson (37509505),Patrick Williams (37509554),Giannis Antetokounmpo (37509355),Cade Cunningham (37509362),Olivier-Maxence Prosper (37509676),Kylor Kelley (37509901),273.92944444444447,319.65401190111,50000,0.00%,0,-100.0%,0,170.64,$-3.0,DAL 3,CHI 2,user9,50,marvalshot,5295,4630248025_9
Cade Cunningham (37509362),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),Quentin Grimes (37509557),Kawhi Leonard (37509447),Olivier-Maxence Prosper (37509676),297.1584331597222,351.95064553851904,50000,100.00%,0,66.67%,0,202.35,$2.0,DAL 4,DET 1,user9,50,marvalshot,4401,4630248026_9
Cade Cunningham (37509362),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Ivica Zubac (37509426),Kevin Porter Jr. (37509656),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),310.62564236111115,366.0546202513954,49900,100.00%,0,66.69%,0,191.92999999999998,$2.0,DAL 3,LAC 2,user9,50,marvalshot,3469,4630248027_9
Cade Cunningham (37509362),Quentin Grimes (37509557),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Klay Thompson (37509505),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),303.6041666666667,348.00089276540143,50000,0.00%,0,-100.0%,0,224.73,$-3.0,DAL 5,DET 1,user10,50,marvalshot,1351,4630248018_10
Cade Cunningham (37509362),Quentin Grimes (37509557),Ausar Thompson (37509531),Naji Marshall (37509550),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Olivier-Maxence Prosper (37509676),314.7341666666667,355.5898358369194,50000,0.00%,0,-100.0%,0,212.45,$-3.0,DAL 4,DET 2,user10,51,marvalshot,802,4630248019_10
Josh Giddey (37509444),Klay Thompson (37509505),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Desmond Bane (37509420),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),313.0405555555556,366.3274512136281,50000,0.00%,0,-100.0%,0,202.15999999999997,$-3.0,DAL 4,CHI 2,user10,50,marvalshot,2992,4630248020_10
Josh Giddey (37509444),Quentin Grimes (37509557),RJ Barrett (37509428),Naji Marshall (37509550),Nikola Vucevic (37509400),Kevin Porter Jr. (37509656),Olivier-Maxence Prosper (37509676),Giannis Antetokounmpo (37509355),335.4552387152778,381.47224120694267,49400,48.83%,0,-98.57%,0,198.69,$-2.96,DAL 3,CHI 2,user10,50,marvalshot,491,4630248021_10
Kevin Porter Jr. (37509656),Luke Kennard (37509544),Quentin Grimes (37509557),Naji Marshall (37509550),Nikola Vucevic (37509400),Tyrese Maxey (37509365),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),325.1793619791667,389.71831667478625,49500,100.00%,0,97.02%,0,201.07,$2.91,DAL 3,LAC 1,user10,50,marvalshot,5166,4630248022_10
Josh Giddey (37509444),Jaylen Brown (37509406),Matas Buzelis (37509624),Giannis Antetokounmpo (37509355),Nikola Vucevic (37509400),Quentin Grimes (37509557),Naji Marshall (37509550),Kylor Kelley (37509901),320.15916666666664,369.3499292615783,50000,0.00%,0,-100.0%,0,200.97,$-3.0,CHI 3,DAL 3,user10,50,marvalshot,2411,4630248023_10
Cade Cunningham (37509362),Coby White (37509464),Quentin Grimes (37509557),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),325.2675,366.20944492168815,50000,0.00%,0,-100.0%,0,200.57,$-3.0,DAL 4,CHI 2,user10,86,marvalshot,522,4630248024_10
Coby White (37509464),Kelly Oubre Jr. (37509455),Klay Thompson (37509505),Patrick Williams (37509554),Giannis Antetokounmpo (37509355),Cade Cunningham (37509362),Olivier-Maxence Prosper (37509676),Kylor Kelley (37509901),273.92944444444447,319.65401190111,50000,0.00%,0,-100.0%,0,170.64,$-3.0,DAL 3,CHI 2,user10,50,marvalshot,5295,4630248025_10
Cade Cunningham (37509362),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),Quentin Grimes (37509557),Kawhi Leonard (37509447),Olivier-Maxence Prosper (37509676),297.1584331597222,351.95064553851904,50000,100.00%,0,66.67%,0,202.35,$2.0,DAL 4,DET 1,user10,50,marvalshot,4401,4630248026_10
Cade Cunningham (37509362),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Ivica Zubac (37509426),Kevin Porter Jr. (37509656),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),310.62564236111115,366.0546202513954,49900,100.00%,0,66.69%,0,191.92999999999998,$2.0,DAL 3,LAC 2,user10,50,marvalshot,3469,4630248027_10
Cade Cunningham (37509362),Quentin Grimes (37509557),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Klay Thompson (37509505),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),303.6041666666667,348.00089276540143,50000,0.00%,0,-100.0%,0,224.73,$-3.0,DAL 5,DET 1,user11,50,marvalshot,1351,4630248018_11
Cade Cunningham (37509362),Quentin Grimes (37509557),Ausar Thompson (37509531),Naji Marshall (37509550),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Olivier-Maxence Prosper (37509676),314.7341666666667,355.5898358369194,50000,0.00%,0,-100.0%,0,212.45,$-3.0,DAL 4,DET 2,user11,51,marvalshot,802,4630248019_11
Josh Giddey (37509444),Klay Thompson (37509505),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Desmond Bane (37509420),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),313.0405555555556,366.3274512136281,50000,0.00%,0,-100.0%,0,202.15999999999997,$-3.0,DAL 4,CHI 2,user11,50,marvalshot,2992,4630248020_11
Josh Giddey (37509444),Quentin Grimes (37509557),RJ Barrett (37509428),Naji Marshall (37509550),Nikola Vucevic (37509400),Kevin Porter Jr. (37509656),Olivier-Maxence Prosper (37509676),Giannis Antetokounmpo (37509355),335.4552387152778,381.47224120694267,49400,48.83%,0,-98.57%,0,198.69,$-2.96,DAL 3,CHI 2,user11,50,marvalshot,491,4630248021_11
Kevin Porter Jr. (37509656),Luke Kennard (37509544),Quentin Grimes (37509557),Naji Marshall (37509550),Nikola Vucevic (37509400),Tyrese Maxey (37509365),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),325.1793619791667,389.71831667478625,49500,100.00%,0,97.02%,0,201.07,$2.91,DAL 3,LAC 1,user11,50,marvalshot,5166,4630248022_11
Josh Giddey (37509444),Jaylen Brown (37509406),Matas Buzelis (37509624),Giannis Antetokounmpo (37509355),Nikola Vucevic (37509400),Quentin Grimes (37509557),Naji Marshall (37509550),Kylor Kelley (37509901),320.15916666666664,369.3499292615783,50000,0.00%,0,-100.0%,0,200.97,$-3.0,CHI 3,DAL 3,user11,50,marvalshot,2411,4630248023_11
Cade Cunningham (37509362),Coby White (37509464),Quentin Grimes (37509557),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),325.2675,366.20944492168815,50000,0.00%,0,-100.0%,0,200.57,$-3.0,DAL 4,CHI 2,user11,86,marvalshot,522,4630248024_11
Coby White (37509464),Kelly Oubre Jr. (37509455),Klay Thompson (37509505),Patrick Williams (37509554),Giannis Antetokounmpo (37509355),Cade Cunningham (37509362),Olivier-Maxence Prosper (37509676),Kylor Kelley (37509901),273.92944444444447,319.65401190111,50000,0.00%,0,-100.0%,0,170.64,$-3.0,DAL 3,CHI 2,user11,50,marvalshot,5295,4630248025_11
Cade Cunningham (37509362),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),Quentin Grimes (37509557),Kawhi Leonard (37509447),Olivier-Maxence Prosper (37509676),297.1584331597222,351.95064553851904,50000,100.00%,0,66.67%,0,202.35,$2.0,DAL 4,DET 1,user11,50,marvalshot,4401,4630248026_11
Cade Cunningham (37509362),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Ivica Zubac (37509426),Kevin Porter Jr. (37509656),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),310.62564236111115,366.0546202513954,49900,100.00%,0,66.69%,0,191.92999999999998,$2.0,DAL 3,LAC 2,user11,50,marvalshot,3469,4630248027_11
Cade Cunningham (37509362),Quentin Grimes (37509557),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Klay Thompson (37509505),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),303.6041666666667,348.00089276540143,50000,0.00%,0,-100.0%,0,224.73,$-3.0,DAL 5,DET 1,user12,50,marvalshot,1351,4630248018_12
Cade Cunningham (37509362),Quentin Grimes (37509557),Ausar Thompson (37509531),Naji Marshall (37509550),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Olivier-Maxence Prosper (37509676),314.7341666666667,355.5898358369194,50000,0.00%,0,-100.0%,0,212.45,$-3.0,DAL 4,DET 2,user12,51,marvalshot,802,4630248019_12
Josh Giddey (37509444),Klay Thompson (37509505),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Desmond Bane (37509420),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),313.0405555555556,366.3274512136281,50000,0.00%,0,-100.0%,0,202.15999999999997,$-3.0,DAL 4,CHI 2,user12,50,marvalshot,2992,4630248020_12
Josh Giddey (37509444),Quentin Grimes (37509557),RJ Barrett (37509428),Naji Marshall (37509550),Nikola Vucevic (37509400),Kevin Porter Jr. (37509656),Olivier-Maxence Prosper (37509676),Giannis Antetokounmpo (37509355),335.4552387152778,381.47224120694267,49400,48.83%,0,-98.57%,0,198.69,$-2.96,DAL 3,CHI 2,user12,50,marvalshot,491,4630248021_12
Kevin Porter Jr. (37509656),Luke Kennard (37509544),Quentin Grimes (37509557),Naji Marshall (37509550),Nikola Vucevic (37509400),Tyrese Maxey (37509365),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),325.1793619791667,389.71831667478625,49500,100.00%,0,97.02%,0,201.07,$2.91,DAL 3,LAC 1,user12,50,marvalshot,5166,4630248022_12
Josh Giddey (37509444),Jaylen Brown (37509406),Matas Buzelis (37509624),Giannis Antetokounmpo (37509355),Nikola Vucevic (37509400),Quentin Grimes (37509557),Naji Marshall (37509550),Kylor Kelley (37509901),320.15916666666664,369.3499292615783,50000,0.00%,0,-100.0%,0,200.97,$-3.0,CHI 3,DAL 3,user12,50,marvalshot,2411,4630248023_12
Cade Cunningham (37509362),Coby White (37509464),Quentin Grimes (37509557),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),325.2675,366.20944492168815,50000,0.00%,0,-100.0%,0,200.57,$-3.0,DAL 4,CHI 2,user12,86,marvalshot,522,4630248024_12
Coby White (37509464),Kelly Oubre Jr. (37509455),Klay Thompson (37509505),Patrick Williams (37509554),Giannis Antetokounmpo (37509355),Cade Cunningham (37509362),Olivier-Maxence Prosper (37509676),Kylor Kelley (37509901),273.92944444444447,319.65401190111,50000,0.00%,0,-100.0%,0,170.64,$-3.0,DAL 3,CHI 2,user12,50,marvalshot,5295,4630248025_12
Cade Cunningham (37509362),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),Quentin Grimes (37509557),Kawhi Leonard (37509447),Olivier-Maxence Prosper (37509676),297.1584331597222,351.95064553851904,50000,100.00%,0,66.67%,0,202.35,$2.0,DAL 4,DET 1,user12,50,marvalshot,4401,4630248026_12
Cade Cunningham (37509362),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Ivica Zubac (37509426),Kevin Porter Jr. (37509656),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),310.62564236111115,366.0546202513954,49900,100.00%,0,66.69%,0,191.92999999999998,$2.0,DAL 3,LAC 2,user12,50,marvalshot,3469,4630248027_12
Cade Cunningham (37509362),Quentin Grimes (37509557),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Klay Thompson (37509505),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),303.6041666666667,348.00089276540143,50000,0.00%,0,-100.0%,0,224.73,$-3.0,DAL 5,DET 1,user13,50,marvalshot,1351,4630248018_13
Cade Cunningham (37509362),Quentin Grimes (37509557),Ausar Thompson (37509531),Naji Marshall (37509550),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Olivier-Maxence Prosper (37509676),314.7341666666667,355.5898358369194,50000,0.00%,0,-100.0%,0,212.45,$-3.0,DAL 4,DET 2,user13,51,marvalshot,802,4630248019_13
Josh Giddey (37509444),Klay Thompson (37509505),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Desmond Bane (37509420),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),313.0405555555556,366.3274512136281,50000,0.00%,0,-100.0%,0,202.15999999999997,$-3.0,DAL 4,CHI 2,user13,50,marvalshot,2992,4630248020_13
Josh Giddey (37509444),Quentin Grimes (37509557),RJ Barrett (37509428),Naji Marshall (37509550),Nikola Vucevic (37509400),Kevin Porter Jr. (37509656),Olivier-Maxence Prosper (37509676),Giannis Antetokounmpo (37509355),335.4552387152778,381.47224120694267,49400,48.83%,0,-98.57%,0,198.69,$-2.96,DAL 3,CHI 2,user13,50,marvalshot,491,4630248021_13
Kevin Porter Jr. (37509656),Luke Kennard (37509544),Quentin Grimes (37509557),Naji Marshall (37509550),Nikola Vucevic (37509400),Tyrese Maxey (37509365),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),325.1793619791667,389.71831667478625,49500,100.00%,0,97.02%,0,201.07,$2.91,DAL 3,LAC 1,user13,50,marvalshot,5166,4630248022_13
Josh Giddey (37509444),Jaylen Brown (37509406),Matas Buzelis (37509624),Giannis Antetokounmpo (37509355),Nikola Vucevic (37509400),Quentin Grimes (37509557),Naji Marshall (37509550),Kylor Kelley (37509901),320.15916666666664,369.3499292615783,50000,0.00%,0,-100.0%,0,200.97,$-3.0,CHI 3,DAL 3,user13,50,marvalshot,2411,4630248023_13
Cade Cunningham (37509362),Coby White (37509464),Quentin Grimes (37509557),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),325.2675,366.20944492168815,50000,0.00%,0,-100.0%,0,200.57,$-3.0,DAL 4,CHI 2,user13,86,marvalshot,522,4630248024_13
Coby White (37509464),Kelly Oubre Jr. (37509455),Klay Thompson (37509505),Patrick Williams (37509554),Giannis Antetokounmpo (37509355),Cade Cunningham (37509362),Olivier-Maxence Prosper (37509676),Kylor Kelley (37509901),273.92944444444447,319.65401190111,50000,0.00%,0,-100.0%,0,170.64,$-3.0,DAL 3,CHI 2,user13,50,marvalshot,5295,4630248025_13
Cade Cunningham (37509362),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),Quentin Grimes (37509557),Kawhi Leonard (37509447),Olivier-Maxence Prosper (37509676),297.1584331597222,351.95064553851904,50000,100.00%,0,66.67%,0,202.35,$2.0,DAL 4,DET 1,user13,50,marvalshot,4401,4630248026_13
Cade Cunningham (37509362),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Ivica Zubac (37509426),Kevin Porter Jr. (37509656),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),310.62564236111115,366.0546202513954,49900,100.00%,0,66.69%,0,191.92999999999998,$2.0,DAL 3,LAC 2,user13,50,marvalshot,3469,4630248027_13
Cade Cunningham (37509362),Quentin Grimes (37509557),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Klay Thompson (37509505),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),303.6041666666667,348.00089276540143,50000,0.00%,0,-100.0%,0,224.73,$-3.0,DAL 5,DET 1,user14,50,marvalshot,1351,4630248018_14
Cade Cunningham (37509362),Quentin Grimes (37509557),Ausar Thompson (37509531),Naji Marshall (37509550),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Olivier-Maxence Prosper (37509676),314.7341666666667,355.5898358369194,50000,0.00%,0,-100.0%,0,212.45,$-3.0,DAL 4,DET 2,user14,51,marvalshot,802,4630248019_14
Josh Giddey (37509444),Klay Thompson (37509505),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Desmond Bane (37509420),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),313.0405555555556,366.3274512136281,50000,0.00%,0,-100.0%,0,202.15999999999997,$-3.0,DAL 4,CHI 2,user14,50,marvalshot,2992,4630248020_14
Josh Giddey (37509444),Quentin Grimes (37509557),RJ Barrett (37509428),Naji Marshall (37509550),Nikola Vucevic (37509400),Kevin Porter Jr. (37509656),Olivier-Maxence Prosper (37509676),Giannis Antetokounmpo (37509355),335.4552387152778,381.47224120694267,49400,48.83%,0,-98.57%,0,198.69,$-2.96,DAL 3,CHI 2,user14,50,marvalshot,491,4630248021_14
Kevin Porter Jr. (37509656),Luke Kennard (37509544),Quentin Grimes (37509557),Naji Marshall (37509550),Nikola Vucevic (37509400),Tyrese Maxey (37509365),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),325.1793619791667,389.71831667478625,49500,100.00%,0,97.02%,0,201.07,$2.91,DAL 3,LAC 1,user14,50,marvalshot,5166,4630248022_14
Josh Giddey (37509444),Jaylen Brown (37509406),Matas Buzelis (37509624),Giannis Antetokounmpo (37509355),Nikola Vucevic (37509400),Quentin Grimes (37509557),Naji Marshall (37509550),Kylor Kelley (37509901),320.15916666666664,369.3499292615783,50000,0.00%,0,-100.0%,0,200.97,$-3.0,CHI 3,DAL 3,user14,50,marvalshot,2411,4630248023_14
